Name of Student,No. of DSA questions,CGPA,Knows ML,Knows DSA,Knows Python,Knows JavaScript,Knows CSS,Was in Coding Club,Age of Candidate,Branch of Engineering,Placement Package
April Richardson,312,6.49,Yes,Yes,No,Yes,Yes,Yes,18,Civil Engineering,53.85
Sean Gardner,75,7.56,No,No,No,Yes,No,Yes,22,Mechanical Engineering,11.29
Audrey Gray,97,7.48,Yes,No,No,Yes,Yes,No,19,Computer Science,47.35
Denise Pope,198,4.45,Yes,Yes,Yes,Yes,Yes,No,20,Mechanical Engineering,12.06
Wanda Sweeney,398,4.95,Yes,No,Yes,No,Yes,Yes,23,Computer Science,10.89
Barbara Peterson,356,3.75,Yes,No,No,No,Yes,No,20,Electrical Engineering,9.09
Kimberly Barron,343,1.91,No,No,No,Yes,No,Yes,22,Electrical Engineering,4.2
Julie Carney,162,4.18,No,Yes,No,No,Yes,Yes,20,Electrical Engineering,6.54
Justin Price,260,0.49,Yes,Yes,Yes,No,Yes,No,23,Electrical Engineering,11.49
Nicole Figueroa MD,228,5.35,Yes,No,No,Yes,No,Yes,25,Electrical Engineering,24.61
Laura Montes,163,1.69,No,Yes,No,No,Yes,Yes,18,Mechanical Engineering,6.07
Terry Cunningham,107,7.68,No,No,No,No,Yes,No,18,Computer Science,6.68
Aaron Castro,406,2.24,No,Yes,Yes,Yes,No,No,20,Electrical Engineering,6.65
Emily White,201,9.21,Yes,No,Yes,Yes,No,No,25,Civil Engineering,17.39
David Cook,393,1.18,No,No,Yes,No,Yes,No,20,Civil Engineering,4.24
Mercedes Lee,443,8.45,Yes,No,Yes,Yes,Yes,Yes,19,Mechanical Engineering,48.81
Tammy Atkinson,106,3.75,No,No,No,No,Yes,Yes,21,Computer Science,4.16
Samantha Wilson,43,7.91,Yes,No,No,Yes,Yes,Yes,22,Civil Engineering,22.56
Sheila Lopez,30,0,No,Yes,Yes,No,No,No,24,Civil Engineering,6.4
Lindsey Jefferson,303,5.59,Yes,Yes,No,Yes,No,Yes,21,Computer Science,43.22
Kimberly Cervantes,151,6.19,No,No,No,No,No,Yes,18,Mechanical Engineering,36.66
Tammy Hoffman,89,6.51,No,Yes,No,Yes,No,Yes,23,Mechanical Engineering,19.86
Ryan Brown,63,1.28,Yes,No,No,Yes,No,Yes,22,Mechanical Engineering,9.96
Steven Scott,444,3.36,No,Yes,Yes,No,No,No,25,Civil Engineering,6.44
Andrew Baldwin,404,2.25,No,Yes,No,No,Yes,Yes,21,Civil Engineering,5.54
Jonathan Fitzpatrick,95,6.49,Yes,Yes,Yes,Yes,Yes,Yes,25,Civil Engineering,29.24
David Fisher,26,7.3,Yes,No,Yes,Yes,Yes,No,20,Electrical Engineering,25.03
Thomas Melton,27,9.13,No,Yes,Yes,Yes,No,Yes,21,Mechanical Engineering,51.89
William Howell,195,6.21,Yes,No,No,No,Yes,No,22,Civil Engineering,48.93
Stacy Preston,316,0.92,Yes,No,Yes,No,No,No,21,Electrical Engineering,8.87
Justin Lopez,482,1.56,No,Yes,No,No,No,No,24,Electrical Engineering,6.32
Raymond Mcdonald,16,7.46,No,No,No,Yes,No,No,19,Mechanical Engineering,22.98
Joan Goodman,272,3.56,Yes,No,Yes,No,Yes,No,22,Mechanical Engineering,8.87
Ian Watts,198,8.26,No,Yes,No,Yes,Yes,No,23,Mechanical Engineering,50.27
Brandon Glover,414,1.33,No,No,Yes,No,No,No,23,Electrical Engineering,4.51
Mary Sanford DDS,291,4.02,Yes,Yes,No,Yes,Yes,No,24,Mechanical Engineering,11.17
Regina Martin,100,4.48,No,No,No,No,Yes,Yes,18,Mechanical Engineering,3.21
Gregory Ball,496,6.76,,No,No,Yes,Yes,Yes,25,Civil Engineering,48.02
Sarah Turner,410,6.93,Yes,No,Yes,Yes,Yes,No,21,Mechanical Engineering,16.45
Carolyn Ali,224,6.04,No,No,Yes,No,Yes,Yes,21,Electrical Engineering,11.91
Crystal Anderson,234,3.68,No,No,Yes,Yes,No,No,24,Electrical Engineering,4.85
Ernest Hernandez,132,8.45,No,Yes,No,No,No,No,23,Mechanical Engineering,34.98
Angela Lee,273,5.03,No,No,No,Yes,No,No,24,Computer Science,49.24
Haley Hall,29,6.06,Yes,Yes,Yes,No,No,Yes,20,Electrical Engineering,41.18
Justin Santos,14,5.56,No,Yes,No,No,Yes,Yes,19,Computer Science,40.9
Austin Romero,427,6.78,Yes,Yes,Yes,Yes,Yes,No,24,Electrical Engineering,38.48
Richard Wheeler,77,4.88,No,No,Yes,Yes,Yes,No,24,Civil Engineering,4.1
Ryan Lopez,376,1.7,No,Yes,No,No,No,No,22,Civil Engineering,5
Robert Carlson,491,5.23,,Yes,No,Yes,No,No,24,Computer Science,46.08
Jessica Collins MD,25,1.28,No,No,Yes,Yes,No,No,20,Mechanical Engineering,3.16
Angela Martin,378,7.74,No,No,Yes,Yes,Yes,No,21,Electrical Engineering,44.02
Cody Hart,285,5.38,No,No,Yes,No,Yes,No,19,Civil Engineering,8.84
Samantha Oneill,10,0.89,No,No,Yes,No,No,No,25,Mechanical Engineering,2.65
Pamela Gilbert,164,9.88,No,Yes,No,No,Yes,Yes,20,Computer Science,19.05
Christian Mills,396,9.29,No,No,No,Yes,No,No,19,Computer Science,31.97
Brenda Hall,65,1.76,No,No,Yes,No,No,Yes,20,Computer Science,4.12
Amber Moreno,134,6.21,Yes,Yes,Yes,Yes,Yes,Yes,20,Civil Engineering,56.89
Melanie Price,346,7.85,Yes,No,Yes,No,Yes,Yes,22,Electrical Engineering,44.3
Jason Morrison,424,0.71,No,No,Yes,Yes,Yes,Yes,24,Electrical Engineering,3.87
Brett Williams,333,4,No,No,Yes,Yes,Yes,No,24,Mechanical Engineering,3.36
Karen Dominguez,111,6.63,No,No,No,Yes,No,No,25,Mechanical Engineering,38.38
Amy Tucker,160,1.79,No,Yes,No,Yes,Yes,Yes,24,Mechanical Engineering,6.65
Scott Evans,414,7.11,Yes,Yes,Yes,No,No,No,25,Civil Engineering,27.56
Mark Thomas,157,1.02,No,No,Yes,Yes,No,No,20,Computer Science,4.75
Matthew Fox,243,0.24,No,Yes,Yes,No,No,Yes,24,Mechanical Engineering,5.82
Cynthia Kelly,28,9.35,No,Yes,Yes,No,No,No,25,Electrical Engineering,51.66
Thomas Moore,193,2.2,No,Yes,No,Yes,No,No,23,Electrical Engineering,6.92
Sara Russell,29,3.14,No,No,Yes,No,Yes,No,19,Mechanical Engineering,2.79
Sherry Watkins,349,4.46,Yes,Yes,No,,Yes,No,19,Electrical Engineering,11.71
Lauren Thomas,265,3.63,Yes,Yes,Yes,Yes,Yes,Yes,18,Electrical Engineering,11.53
John Patton,455,9.07,No,Yes,Yes,Yes,No,Yes,18,Electrical Engineering,24.1
Patricia Jones,262,5.24,No,No,No,Yes,,Yes,18,Mechanical Engineering,33.38
Tiffany Ayala,353,6.81,Yes,No,No,No,Yes,Yes,18,Civil Engineering,38.67
Jennifer Rivas,293,6.13,Yes,No,No,No,No,Yes,19,Mechanical Engineering,35.31
Thomas Sexton,173,5.89,Yes,Yes,Yes,Yes,No,Yes,23,Civil Engineering,36.43
Lisa Robinson,155,9.66,No,Yes,No,No,,Yes,24,Mechanical Engineering,32.99
Linda Monroe,241,7.69,Yes,Yes,,No,No,Yes,22,Civil Engineering,44.27
Michael Taylor,344,7.08,Yes,Yes,No,No,Yes,No,19,Civil Engineering,52.64
Jonathan Hines,94,4.17,No,No,No,Yes,Yes,No,18,Computer Science,4.82
Johnny Smith,245,1,No,Yes,No,No,Yes,No,25,Computer Science,6.26
Daniel Marquez,5,2.91,Yes,No,No,Yes,Yes,No,20,Civil Engineering,8.77
Keith Curry,404,8.94,,Yes,No,Yes,Yes,No,21,Civil Engineering,12.78
Mary Miller,284,1.97,No,No,No,Yes,No,Yes,18,Civil Engineering,3.46
Morgan Lee,245,8.92,Yes,No,No,No,No,No,23,Mechanical Engineering,47.22
Jeffrey Washington,103,5.62,Yes,Yes,No,No,No,No,20,Civil Engineering,24.93
Bobby Simpson,211,6.79,Yes,No,No,No,Yes,No,21,Civil Engineering,44.2
Scott Ramos,497,2.98,No,No,No,No,No,Yes,23,Electrical Engineering,3.7
Cynthia Martin,370,5.86,,No,Yes,Yes,No,Yes,22,Computer Science,21.32
James Rodriguez,436,5.05,No,No,Yes,No,No,No,24,Computer Science,46.73
Hannah Garcia,395,2.74,Yes,Yes,No,No,No,No,25,Mechanical Engineering,10.54
Robert Miller,458,3.77,Yes,Yes,No,Yes,No,Yes,25,Computer Science,11.79
Kelly Perez,213,1.02,Yes,No,No,No,No,No,24,Computer Science,8.87
Luke Johnson,175,6.01,No,Yes,No,No,No,No,21,Electrical Engineering,48.63
Kenneth Russell,427,6.05,No,No,Yes,Yes,No,Yes,19,Mechanical Engineering,17.64
Erin Martin,219,4.81,No,Yes,No,No,Yes,Yes,19,Computer Science,5.8
Carrie Oconnor,117,5.51,No,Yes,No,No,No,Yes,20,Mechanical Engineering,45.14
Jon Berg,262,3.32,Yes,No,Yes,Yes,No,Yes,18,Civil Engineering,9.47
Stephanie Hendricks,116,6.17,Yes,Yes,Yes,Yes,No,No,24,Mechanical Engineering,52.17
Lisa Chang,103,1.64,No,No,Yes,Yes,No,No,25,Computer Science,3.42
Brandon Martinez,128,3.75,No,No,No,No,Yes,No,20,Civil Engineering,2.66
Stephen Ayala,348,0.88,No,Yes,No,Yes,Yes,No,19,Mechanical Engineering,6.23
Kyle Nelson,116,8.42,No,Yes,Yes,Yes,Yes,Yes,18,Electrical Engineering,19.75
Darlene Smith,160,2.17,No,No,Yes,Yes,Yes,No,19,Electrical Engineering,2.76
Brittney Crawford,234,7.85,Yes,No,No,No,No,Yes,20,Civil Engineering,23.62
Timothy Mendoza,449,8.16,No,Yes,Yes,Yes,Yes,No,19,Civil Engineering,19.73
Charles Mills,232,5.97,No,No,Yes,No,No,Yes,23,Civil Engineering,14.12
Kevin King,44,4.71,No,Yes,No,Yes,No,Yes,18,Computer Science,6.7
Elizabeth Cooper,458,7.03,Yes,No,No,No,Yes,No,25,Mechanical Engineering,50.69
Patrick Rodriguez,354,3.25,Yes,Yes,Yes,Yes,Yes,Yes,24,Electrical Engineering,12.44
Regina Davis,21,8.56,No,No,No,Yes,No,No,18,Electrical Engineering,13.35
Eddie Goodwin,462,3.51,Yes,Yes,No,No,No,Yes,22,Computer Science,12.52
Brittany Cox,193,2.53,Yes,Yes,No,No,Yes,Yes,25,Electrical Engineering,12.22
Stephanie Mcconnell,412,1.34,No,Yes,No,Yes,Yes,No,23,Civil Engineering,6.48
Lisa Adkins,250,8.95,No,No,No,Yes,Yes,Yes,21,Mechanical Engineering,34.44
David Pearson,491,4.11,Yes,No,No,No,No,Yes,18,Computer Science,8.85
Vanessa Jackson,49,9.12,Yes,No,No,Yes,No,No,19,Mechanical Engineering,22.04
Devin Morris,4,4.71,No,Yes,Yes,Yes,No,No,24,Computer Science,4.75
Andrew Hopkins,383,9.64,No,Yes,No,No,No,Yes,18,Mechanical Engineering,18.78
Nancy Gomez,283,7.71,Yes,Yes,No,Yes,No,No,19,Civil Engineering,57.9
Suzanne Morris,463,4.78,Yes,Yes,Yes,Yes,Yes,Yes,22,Computer Science,11.19
Zachary Roberts,190,8.24,No,No,Yes,Yes,Yes,Yes,23,Mechanical Engineering,40.77
Heather Rogers,136,8.05,Yes,No,Yes,No,No,No,18,Mechanical Engineering,25.08
Justin Anderson,158,9.86,No,Yes,No,Yes,No,No,20,Civil Engineering,32.83
Lisa Walton,54,3.19,No,Yes,No,No,No,Yes,24,Mechanical Engineering,6.58
Pamela Payne,71,8.16,No,Yes,Yes,No,No,Yes,22,Civil Engineering,11.97
Tamara Humphrey,417,6.96,No,Yes,No,No,Yes,Yes,22,Computer Science,34.22
Kenneth Watson,87,0.66,No,Yes,Yes,No,No,No,19,Electrical Engineering,6.73
Randall Lyons,111,5.53,Yes,Yes,Yes,No,Yes,Yes,25,Civil Engineering,29.95
Colleen Hess,195,9.85,Yes,Yes,Yes,Yes,Yes,No,20,Civil Engineering,20.35
Colleen Lee,38,7.42,No,No,Yes,No,Yes,No,22,Computer Science,8.07
Sheryl Trujillo,159,8.95,,No,No,Yes,No,No,20,Electrical Engineering,23.03
Marissa Warren,189,1.08,No,Yes,Yes,Yes,Yes,No,18,Electrical Engineering,6.02
Daniel Rodriguez,384,7.97,Yes,Yes,No,Yes,No,Yes,19,Civil Engineering,34.8
Dr. David Martin,129,6.94,Yes,No,No,Yes,Yes,Yes,21,Electrical Engineering,54.76
Mandy Rogers,289,7.84,No,Yes,No,No,Yes,No,20,Mechanical Engineering,42.47
Michael Delacruz,92,9.22,Yes,Yes,No,Yes,Yes,No,21,Mechanical Engineering,38.33
Brandon Malone,490,3.27,Yes,No,No,Yes,Yes,No,20,Civil Engineering,8.66
Mr. Robert Mccarty,323,1.71,Yes,No,No,No,Yes,Yes,24,Electrical Engineering,9.73
Mary Snow,213,1.99,No,Yes,Yes,Yes,Yes,No,24,Computer Science,5.37
Daniel Williams,109,8.14,Yes,Yes,Yes,Yes,No,Yes,25,Electrical Engineering,46.89
Amanda Rodgers,60,6.67,No,No,No,No,Yes,No,23,Electrical Engineering,33.15
Sierra Cross,150,9.11,Yes,No,No,Yes,No,No,25,Electrical Engineering,55.19
Timothy Callahan,172,9.71,No,No,No,Yes,No,No,22,Civil Engineering,12.54
Tyler Santana,123,5.97,No,No,No,Yes,No,Yes,25,Civil Engineering,11.45
Ricky Bates,233,4.87,Yes,Yes,No,Yes,No,Yes,18,Electrical Engineering,12.07
Dawn Proctor,457,2.38,Yes,Yes,Yes,Yes,No,Yes,19,Computer Science,12.59
Michael Jacobson,4,2.88,Yes,No,No,Yes,Yes,Yes,24,Computer Science,10.09
Kelly Howe,88,8.91,Yes,No,Yes,Yes,,Yes,23,Electrical Engineering,27.09
Megan Salinas,420,2.28,Yes,Yes,Yes,No,Yes,Yes,23,Civil Engineering,12.48
Marissa Crosby,319,2,No,No,No,No,Yes,Yes,18,Mechanical Engineering,3.38
Kimberly Bryant,235,4.9,Yes,No,No,No,No,No,24,Electrical Engineering,10.16
Brandi Goodwin,318,4.06,Yes,Yes,Yes,No,No,No,25,Mechanical Engineering,12.62
Tara Harris,339,9.95,No,No,No,Yes,Yes,No,21,Computer Science,43.01
Mary Stone,34,6.53,Yes,Yes,No,Yes,Yes,Yes,20,Civil Engineering,18.64
Johnny Hamilton,139,8.14,Yes,Yes,Yes,Yes,Yes,Yes,19,Civil Engineering,47.27
Paul Miller,474,3.43,No,No,Yes,Yes,Yes,No,21,Mechanical Engineering,4.65
Jack Hicks,144,9.31,No,Yes,Yes,No,No,No,21,Mechanical Engineering,30.34
Christina Ford,471,8.42,No,Yes,Yes,Yes,Yes,No,22,Computer Science,28.12
Tracy Huff,89,2.88,Yes,Yes,Yes,Yes,Yes,Yes,18,Mechanical Engineering,12.94
Jacob Christensen,438,2.67,Yes,Yes,No,Yes,No,No,23,Civil Engineering,12.01
Vicki Robinson,92,4.18,Yes,No,,Yes,Yes,No,24,Electrical Engineering,10.43
Jenna Dunn,107,2.88,Yes,Yes,No,No,Yes,Yes,20,Computer Science,12.83
Theresa Larson,251,2.03,Yes,No,Yes,Yes,No,No,22,Electrical Engineering,10.02
Robert Allen,115,9.01,Yes,Yes,No,Yes,No,No,24,Computer Science,48.76
Mark Perez,87,0.22,No,No,Yes,Yes,No,No,21,Civil Engineering,3.86
Brittany Young,477,6.17,Yes,No,Yes,Yes,Yes,No,20,Mechanical Engineering,25.77
Pamela Johnson,471,3.56,No,No,No,No,No,Yes,24,Computer Science,4.45
Tammy Morales,169,7.9,No,Yes,Yes,No,Yes,Yes,24,Civil Engineering,43.59
Hannah Watkins,271,4.66,Yes,No,Yes,Yes,No,No,19,Computer Science,10.26
Eric Swanson,311,4.06,Yes,Yes,No,Yes,No,No,24,Electrical Engineering,11.09
Jennifer Brown,217,5.91,Yes,No,No,Yes,No,Yes,25,Mechanical Engineering,27.09
Devon Johnson DDS,302,2.87,Yes,Yes,Yes,No,No,No,25,Mechanical Engineering,11.78
Daniel Wheeler,446,5.13,Yes,No,Yes,No,Yes,No,18,Mechanical Engineering,13.52
Tara Wilson,472,6.29,Yes,Yes,Yes,No,Yes,No,20,Civil Engineering,46.91
Christopher Phelps,42,4.74,Yes,Yes,Yes,Yes,No,Yes,22,Mechanical Engineering,12.12
Pamela Mack,9,6.14,Yes,No,Yes,Yes,No,No,24,Civil Engineering,41.44
Albert Munoz,417,1.35,No,Yes,Yes,No,Yes,Yes,22,Computer Science,4.78
Karen Nichols,433,1.16,Yes,No,Yes,Yes,No,Yes,19,Electrical Engineering,9.62
Melissa Black,166,9.53,Yes,Yes,No,Yes,No,No,18,Mechanical Engineering,26.51
Abigail Hall,100,7.59,Yes,No,Yes,Yes,Yes,No,23,Computer Science,19.65
Jamie Anderson,246,8.12,Yes,No,No,Yes,No,No,24,Electrical Engineering,41.28
Heather Brown,273,3.69,Yes,Yes,No,Yes,Yes,Yes,18,Mechanical Engineering,10.71
Jacqueline Santana,4,2.58,Yes,Yes,Yes,No,Yes,No,23,Mechanical Engineering,12.23
John Palmer,129,0.02,No,No,Yes,Yes,Yes,No,21,Electrical Engineering,2.57
Angela Mendoza,126,6.94,No,No,No,No,Yes,Yes,23,Electrical Engineering,47.59
Claire Pruitt,111,6.84,No,Yes,No,No,No,No,23,Computer Science,51.76
David Kaiser,482,8.49,Yes,No,No,No,No,No,25,Civil Engineering,42.04
Amy Smith,467,3.16,Yes,Yes,Yes,Yes,No,Yes,25,Electrical Engineering,12.18
Mary Walker,407,4.28,Yes,No,Yes,No,Yes,No,25,Electrical Engineering,9.02
Kim Klein,257,5.59,No,No,No,No,Yes,Yes,20,Computer Science,39.4
Ian Miller,215,5.02,No,No,No,Yes,Yes,Yes,18,Civil Engineering,11.1
Amanda Garrett,216,1.34,No,No,Yes,No,Yes,Yes,25,Computer Science,2.93
Sarah Kelley,416,6.32,No,Yes,No,No,No,No,24,Computer Science,7.29
Eric Vasquez,335,7.41,No,No,No,Yes,Yes,Yes,20,Civil Engineering,33.89
Michelle Cunningham,357,1.32,No,No,No,No,Yes,No,18,Computer Science,4.58
Brian Morgan,246,6.92,No,Yes,No,No,Yes,No,25,Civil Engineering,43.33
Timothy Bass,351,7.86,Yes,No,,No,No,Yes,19,Electrical Engineering,51.97
Donald Olson,499,4.48,No,Yes,Yes,Yes,No,No,19,Mechanical Engineering,5.7
Dustin Palmer,436,1.15,Yes,Yes,Yes,Yes,Yes,No,19,Mechanical Engineering,11.07
Emily Gordon,394,4.79,No,Yes,No,No,No,Yes,24,Civil Engineering,6.52
Joshua Willis,90,6.27,No,No,Yes,Yes,Yes,No,25,Electrical Engineering,37.11
George Tran,230,6.48,No,Yes,No,No,Yes,No,21,Electrical Engineering,51.01
Jessica Ray,221,3.94,Yes,No,Yes,No,No,Yes,25,Civil Engineering,9.57
Roger Hopkins,444,5.05,Yes,Yes,Yes,Yes,No,No,18,Mechanical Engineering,46.1
Sara Harrison,160,7.06,No,No,Yes,Yes,Yes,Yes,24,Civil Engineering,42.14
Melanie Jenkins,42,6.47,No,Yes,Yes,Yes,Yes,No,20,Mechanical Engineering,47.53
George White,109,6.24,No,No,No,Yes,No,Yes,25,Mechanical Engineering,31.8
Tracy Patel,73,6.98,Yes,No,No,Yes,No,No,24,Civil Engineering,23.76
Daniel Hayes,349,0.34,No,No,No,Yes,No,No,21,Computer Science,3.74
Holly Bennett,25,8.47,No,No,Yes,No,Yes,No,25,Civil Engineering,35.04
Amanda Ramirez,273,1.21,No,No,No,No,No,No,20,Mechanical Engineering,4.81
Susan Diaz,228,6.97,Yes,No,Yes,No,Yes,No,22,Computer Science,23.57
Maria Anderson,145,8.79,Yes,Yes,Yes,Yes,Yes,No,19,Mechanical Engineering,56.23
Joshua White,373,0.26,No,Yes,No,No,Yes,Yes,21,Computer Science,6.87
John Pitts,293,7.92,No,Yes,No,No,No,Yes,23,Civil Engineering,10.7
Andrew Guerra,36,2.78,No,Yes,Yes,No,Yes,No,25,Civil Engineering,4.67
Carolyn Huff,418,3.42,No,Yes,No,No,No,No,19,Civil Engineering,5.44
Ms. Kelly Williams,42,7.41,Yes,Yes,No,No,No,No,22,Electrical Engineering,44.76
Debra King,0,9.3,Yes,No,No,No,Yes,No,19,Computer Science,40.75
Jasmine Cannon,345,1.28,No,Yes,Yes,Yes,No,Yes,23,Computer Science,6.4
Daniel Welch,117,2.07,Yes,No,No,Yes,Yes,Yes,18,Mechanical Engineering,9.45
Wanda Adams,26,9.16,Yes,No,Yes,No,No,Yes,18,Computer Science,52.7
Keith Bowman,300,5.7,No,Yes,No,No,No,Yes,24,Electrical Engineering,20.24
David Roberts,129,1.36,No,No,No,No,Yes,Yes,24,Computer Science,4.47
Leslie Collins,444,7.92,Yes,Yes,Yes,,Yes,Yes,21,Mechanical Engineering,53.6
Robert Tucker,319,9.36,Yes,Yes,No,No,Yes,No,20,Computer Science,48.73
Kyle Patel,290,3.36,Yes,Yes,Yes,Yes,Yes,No,18,Mechanical Engineering,11.95
Kyle Adams,196,5.7,No,No,Yes,No,No,No,21,Mechanical Engineering,30.3
Jordan Phillips,474,7.68,No,Yes,Yes,No,Yes,No,24,Mechanical Engineering,21.24
Kimberly Daniel,246,5.58,Yes,No,Yes,Yes,No,No,20,Electrical Engineering,29.16
Christopher Chavez,25,4.71,Yes,No,Yes,,Yes,No,21,Civil Engineering,10.73
Ian Gomez,471,9.8,Yes,No,Yes,Yes,No,Yes,21,Civil Engineering,54.08
David Tran,271,3.36,Yes,No,No,No,Yes,Yes,18,Electrical Engineering,10.82
Shelley Roberts,13,3.01,No,Yes,Yes,Yes,No,Yes,19,Civil Engineering,6.79
Melvin Craig,75,7.86,No,No,No,No,Yes,No,24,Electrical Engineering,19.88
Mitchell Patterson,254,1.91,Yes,No,No,Yes,Yes,Yes,18,Computer Science,10.5
Mr. Paul Garcia,385,8.78,Yes,Yes,No,No,Yes,No,21,Computer Science,20.04
Blake Williams,281,1.93,Yes,Yes,Yes,Yes,Yes,Yes,25,Computer Science,11.56
Melanie Reynolds,237,7.69,No,No,Yes,No,,Yes,21,Civil Engineering,8.79
Christy Arnold,354,8.97,Yes,No,Yes,No,Yes,Yes,23,Computer Science,20.75
Darlene Shea,341,3.04,Yes,No,No,No,No,Yes,20,Computer Science,9.98
Christopher Mcmillan,125,5.48,Yes,Yes,No,No,No,Yes,23,Mechanical Engineering,47.82
Rebecca Thomas,262,5.21,No,Yes,No,No,No,Yes,19,Computer Science,37.71
Patrick Johnson,212,8.85,Yes,No,Yes,Yes,No,Yes,19,Electrical Engineering,48.39
Michael Clark,492,5.84,Yes,Yes,No,No,Yes,No,20,Computer Science,28.92
Brian Kline,20,5.33,Yes,No,No,Yes,No,No,19,Computer Science,33.39
Thomas Garcia,340,3.38,No,No,Yes,,Yes,No,18,Computer Science,3.3
David Shepard,199,9.76,No,No,Yes,No,No,No,19,Mechanical Engineering,43.03
Brian Morrison,333,0.19,Yes,No,No,Yes,Yes,Yes,20,Civil Engineering,10.74
Melissa Webb,343,8.13,No,Yes,No,No,Yes,No,25,Electrical Engineering,31
Kristen Montgomery,479,8.27,Yes,No,No,,No,No,23,Electrical Engineering,39.86
Olivia Chase,478,6.37,Yes,No,Yes,No,Yes,No,23,Computer Science,13.25
Danielle Scott,53,5.14,Yes,Yes,Yes,No,No,Yes,21,Computer Science,15.13
Stephanie Bean,477,8.13,Yes,Yes,Yes,Yes,No,No,25,Mechanical Engineering,41.44
Justin Rowe,45,3.66,Yes,Yes,No,Yes,Yes,Yes,19,Mechanical Engineering,12.42
Kevin Houston,496,8.03,Yes,Yes,Yes,Yes,No,Yes,20,Mechanical Engineering,28.35
Adrienne Allen,314,1.6,Yes,No,No,Yes,No,Yes,22,Civil Engineering,9.92
Ethan Johnson,378,3.27,Yes,No,No,No,Yes,No,23,Civil Engineering,9.07
Hailey Bailey,60,1.36,Yes,No,Yes,Yes,No,Yes,18,Mechanical Engineering,9.26
Jody Reynolds,390,1,Yes,Yes,Yes,Yes,No,Yes,18,Mechanical Engineering,11.93
Michelle Johnson,163,5.22,Yes,Yes,Yes,,No,Yes,20,Mechanical Engineering,38.43
James Simmons,216,8.01,Yes,Yes,Yes,No,No,Yes,22,Mechanical Engineering,54.83
Aaron Cunningham,121,0.39,No,No,,Yes,No,Yes,20,Mechanical Engineering,3.54
Tammy Lee,252,8.8,Yes,No,No,Yes,Yes,Yes,22,Mechanical Engineering,45.81
Jaime Taylor,326,0.11,No,Yes,Yes,Yes,No,No,24,Mechanical Engineering,5.57
Wendy Young,352,9.13,No,No,Yes,No,Yes,No,25,Civil Engineering,26.31
Ricky Wallace,186,7.33,No,No,Yes,No,Yes,No,20,Mechanical Engineering,27.25
Mark Brooks,144,4,No,No,No,Yes,No,Yes,19,Civil Engineering,3.48
Mr. Allen Thornton,18,9.09,No,Yes,Yes,No,No,Yes,19,Computer Science,48.46
Carl Jenkins,376,5.53,No,No,No,No,No,Yes,22,Electrical Engineering,39.26
William Wilkins,271,1.13,No,No,No,No,No,No,24,Computer Science,4.76
Alan Rowe,469,0.89,No,Yes,Yes,No,No,No,22,Computer Science,5.84
Cody Miles,33,3.46,Yes,No,No,No,No,Yes,18,Electrical Engineering,9.97
Charles Bernard,108,1.41,Yes,Yes,Yes,No,Yes,Yes,25,Mechanical Engineering,10.79
Jerome Lewis,82,8.63,No,Yes,No,Yes,Yes,No,22,Computer Science,28.38
Isaac Sullivan,38,1.33,Yes,No,No,No,No,Yes,22,Civil Engineering,9.4
Suzanne Jacobs,174,0.14,Yes,Yes,Yes,No,No,No,25,Mechanical Engineering,10.95
Zachary Knapp,377,9.66,No,No,No,No,Yes,No,25,Mechanical Engineering,25.26
Angela Acosta,197,8.95,Yes,Yes,Yes,Yes,Yes,No,24,Computer Science,52.4
Jordan Gardner,124,7.37,Yes,No,Yes,No,Yes,Yes,24,Computer Science,11.57
Taylor Sims,100,4.76,No,Yes,Yes,No,No,No,25,Mechanical Engineering,6.38
Timothy Hicks,161,4.59,Yes,Yes,No,No,Yes,No,18,Mechanical Engineering,11.07
Loretta Choi,405,5.84,Yes,No,No,No,Yes,No,24,Electrical Engineering,15.06
Rhonda Clay,120,3.66,Yes,No,No,No,Yes,Yes,18,Civil Engineering,10.88
Anthony Torres,208,5.4,No,No,Yes,No,No,No,21,Civil Engineering,10.73
Christina Taylor,166,5.05,No,Yes,No,Yes,No,Yes,21,Mechanical Engineering,39.52
Patricia Moran,326,7.97,No,No,No,Yes,Yes,Yes,18,Civil Engineering,36.61
Matthew Jimenez,113,6.8,Yes,Yes,No,No,No,Yes,23,Civil Engineering,56.32
Reginald King,406,2.07,No,No,Yes,No,No,No,25,Mechanical Engineering,2.72
Karen Coleman,308,0.44,No,No,Yes,No,Yes,No,18,Electrical Engineering,3.18
Randy Bell,6,8.15,Yes,Yes,No,Yes,No,Yes,24,Electrical Engineering,55.67
Kenneth Boyd,359,8.76,Yes,Yes,No,Yes,Yes,Yes,22,Electrical Engineering,39.46
William Holder,490,4.13,No,Yes,No,Yes,No,Yes,19,Civil Engineering,5.14
Adriana Harris,195,0.58,Yes,No,Yes,Yes,Yes,Yes,23,Electrical Engineering,10.15
Lisa Church MD,78,9.9,Yes,No,No,No,Yes,Yes,20,Computer Science,29.17
James Price,474,6.29,No,No,No,Yes,No,Yes,25,Computer Science,23.13
Michelle Coleman,380,5.02,Yes,No,Yes,No,,Yes,22,Civil Engineering,26.58
Thomas Chambers,426,5.2,No,No,Yes,No,Yes,No,24,Computer Science,12.53
Brenda Quinn,237,3.93,No,No,No,Yes,Yes,Yes,20,Mechanical Engineering,3.33
